filename,title,source,version,language,approved,approved_by,approved_date,sha256,source_url,clinical_review,notes
9789240062382-eng.pdf,"The WHO AWaRe Antibiotic Book",World Health Organization,2022,en,true,repository_owner,2026-08-08,4960ecc4fa5bab8281feda656a0da3176dafa1fd21971d87e3b2092d7dac562f,,not_recorded,
B09474-eng.pdf,"WHO Model List of Essential Medicines",World Health Organization,"24th list (2025)",en,true,repository_owner,2026-08-08,69daf7c8399b85978ba85e143d3af34e6ccf7f3d493b1e056daa7ef909d64eb2,,not_recorded,
B09475-eng.pdf,"WHO Model List of Essential Medicines for Children",World Health Organization,"10th list (2025)",en,true,repository_owner,2026-08-08,53e7b6ab5d50ca5d8c57ed0814a024eb018430a0c09d925e6decd06cd6fa4432,,not_recorded,
WHO-IITT-Triage-ES.pdf,"Herramienta de Triage Integrado Interinstitucional",OMS / CICR / MSF,"Spanish edition; accessed 2026-08-08",es,true,repository_owner,2026-08-08,0a03c90e1b4677c2775f15cbb066b43e8ffce82a5849b84786dad4e20de8fbf4,https://www.who.int/tools/triage,pending_local_validation,"Approved for retrieval; validate workflow, staffing, areas, escalation paths and color-response times locally before operational use."
GT-OPS-2024-Tarjetas-Consulta-APS.pdf,"Tarjetas de consulta para los insumos de la Mochila de Acciones Extramuros",OPS/OMS Guatemala / MSPAS,2024,es,true,repository_owner,2026-08-08,ac6945eab3e6e21534aeb9bcd0c9143d39454e25dd392713d4b474c1bc1553e8,https://www.paho.org/es/documentos/tarjetas-consulta-para-insumos-mochila-acciones-extramuros,pending_local_validation,"Guatemala primary-care field reference; approved for retrieval pending clinic validation."
GT-MSPAS-Modulo-1-Embarazo-Parto-Puerperio.pdf,"Normas de Atención Integral para la Red Integrada de Servicios de Salud: Módulo 1 - Embarazo, Parto y Puerperio",MSPAS Guatemala,"Current modular edition; PDF metadata 2025",es,true,repository_owner,2026-08-08,31d13b16c21dbb4e9d6fa4960480642e31df52c48575ea5ebd8a1a04c3f207b2,https://www.mspas.gob.gt/institucional/normas-de-atencion-integral-para-la-red-integrada-de-servicios-de-salud,pending_local_validation,"Current official Guatemala maternal-care module; approved for retrieval pending clinic validation of referral routes, staff roles and emergency workflows."
MSF-2026-Essential-Drugs-EN.pdf,"Essential Drugs: Practical Guidelines",Médecins Sans Frontières,"January 2026; official PDF exported 2026-04-28",en,true,repository_owner,2026-08-09,9eae44e77fa3d69e2691052bdc4ed2d08c615845981361e50f94ff35598e484a,https://medicalguidelines.msf.org/en/viewport/EssDr/english/essential-drugs-16682376.html,pending_local_validation,"Professional medication reference with doses; verify current MSF updates, Guatemala formulary, available formulation, patient factors and institutional policy before use."
MSF-2026-Medicamentos-Esenciales-ES.pdf,"Medicamentos esenciales: Guía práctica de utilización",Médicos Sin Fronteras,"Enero 2026; PDF oficial exportado 2026-03-27",es,true,repository_owner,2026-08-09,c72bed09dc617dfa5c6b85097d53f61a2d60a1d387b74616bc7b0f6eb0012bee,https://medicalguidelines.msf.org/es/viewport/EssDr/spanish/medicamentos-esenciales-20325530.html,pending_local_validation,"Referencia profesional de medicamentos y posología; verificar actualizaciones de MSF, formulario de Guatemala, presentación disponible, factores del paciente y protocolo institucional antes del uso."
GT-MSPAS-2018-Normas-Atencion-Integral.pdf,"Normas de Atención en Salud Integral para primero y segundo nivel",MSPAS Guatemala,2018,es,false,,2026-08-08,187da0690a9ce911414cb80c8f990782da9cc5244a49d89fcd92b71f43f69101,https://conasida.mspas.gob.gt/transparencia/descargas/guias-normas/normas-atencion-salud-integral-primero-segundo-nivel?start=20,required_before_activation,"Stored in pending_review; newer 2025 MSPAS modules appear to supersede this edition."
GT-MSPAS-2023-Monitoreo-Crecimiento-Menores-5.pdf,"Manual Técnico de Monitoreo Control y Promoción del Crecimiento en niñas y niños menores de cinco años",MSPAS Guatemala,2023,es,false,,2026-08-08,e47f26a028467e1cf2146cac0ba8d201113596d1ca39d335ff5456ec9d5f1370,https://www.paho.org/sites/default/files/2024-02/gtm-manual-monitoreo-promocion-crecimiento-ninos-menores-cinco-anos.pdf,required_before_activation,"Stored in pending_review; image-heavy PDF requires Spanish OCR before reliable retrieval."
